label,fake,bias,response
1.0,0.25017098,0.37338012,bias
0.0,0.29565823,0.27071705,impartial
1.0,0.59498936,0.44501078,bias
1.0,0.5574524,0.64542186,bias
1.0,0.13574946,0.24242212,unsure
1.0,0.20624432,0.20020677,bias
0.0,0.07262194,0.11308092,impartial
1.0,0.35673133,0.29510003,bias
0.0,0.064965464,0.3276818,impartial
0.0,0.5267344,0.24559103,impartial
0.0,0.31171024,0.30119333,impartial
0.0,0.36492515,0.41025975,bias
0.0,0.33176354,0.39821267,bias
0.0,0.25614318,0.31073514,bias
1.0,0.2296332,0.22646037,bias
0.0,0.12442956,0.12358341,impartial
1.0,0.14688246,0.3563962,bias
0.0,0.2970624,0.13946162,unsure
1.0,0.18544641,0.24588749,bias
0.0,0.4175392,0.4101898,bias
0.0,0.15720777,0.46724606,impartial
1.0,0.48276934,0.49006802,bias
0.0,0.08674698,0.35786498,unsure
1.0,0.18766415,0.1971054,bias
1.0,0.31403673,0.6913259,bias
0.0,0.050050102,0.147565,unsure
0.0,0.26235718,0.2751137,unsure
1.0,0.14402327,0.14966506,impartial
1.0,0.37861714,0.4948062,bias
0.0,0.102914065,0.2585406,unsure
0.0,0.07885572,0.3597005,bias
1.0,0.12191273,0.42986402,bias
0.0,0.34364665,0.40257874,bias
1.0,0.4387869,0.37006906,bias
1.0,0.1324826,0.33820614,unsure
1.0,0.17176834,0.38877642,bias
0.0,0.16127628,0.37068704,bias
1.0,0.42354727,0.3590286,bias
0.0,0.14696655,0.4316312,impartial
1.0,0.030942092,0.23666453,impartial
1.0,0.14713679,0.18932429,unsure
0.0,0.052634757,0.31091726,impartial
0.0,0.69228596,0.35931295,bias
1.0,0.5242396,0.5086375,bias
0.0,0.22822092,0.22913498,bias
1.0,0.55058235,0.51137316,bias
0.0,0.2965216,0.21645226,unsure
1.0,0.10382062,0.15827024,impartial
0.0,0.52030456,0.3215713,bias
1.0,0.40073162,0.38184065,bias
1.0,0.0,0.0,bias
0.0,0.25761497,0.16812998,impartial
0.0,0.100915134,0.18962799,unsure
1.0,0.20173609,0.3524694,bias
0.0,0.22510411,0.2985722,impartial
0.0,0.2336491,0.30294713,impartial
0.0,0.12007143,0.20200656,impartial
1.0,0.30195108,0.1999902,bias
0.0,0.092463166,0.3024005,bias
0.0,0.14779484,0.28540757,impartial
0.0,0.2633145,0.2683434,impartial
1.0,0.18358655,0.31158903,impartial
0.0,0.13837984,0.21652572,bias
0.0,0.0,0.0,bias
0.0,0.06752939,0.24870196,impartial
1.0,0.55566496,0.4767906,bias
1.0,0.32083362,0.3794008,unsure
1.0,0.48871085,0.44396916,unsure
0.0,0.10214117,0.3054639,impartial
0.0,0.088860236,0.12473569,impartial
0.0,0.6791416,0.45213494,bias
0.0,0.19752947,0.2887629,impartial
0.0,0.39136207,0.32696456,impartial
1.0,0.23414396,0.284551,bias
0.0,0.028100165,0.33770534,impartial
1.0,0.094673395,0.14627932,bias
0.0,0.18584017,0.23010805,impartial
0.0,0.19809465,0.3468736,bias
1.0,0.22687943,0.40054435,bias
0.0,0.10005278,0.29357815,impartial
1.0,0.4118234,0.39381573,bias
1.0,0.0,0.0,bias
0.0,0.1470953,0.24972138,unsure
1.0,0.13635255,0.17313792,unsure
0.0,0.11190613,0.39625925,bias
1.0,0.15834649,0.22772586,unsure
0.0,0.016944675,0.28774437,unsure
0.0,0.45693699,0.44561052,bias
1.0,0.13954493,0.34145865,bias
0.0,0.19688362,0.16861948,impartial
0.0,0.25941107,0.2527608,impartial
1.0,0.5010842,0.48336923,bias
0.0,0.083715774,0.16386016,impartial
0.0,0.49898487,0.38323924,bias
1.0,0.56109554,0.20400864,bias
1.0,0.12788048,0.19094239,impartial
1.0,0.17383759,0.40007836,bias
1.0,0.1351192,0.41720673,bias
0.0,0.13290358,0.22204025,impartial
0.0,0.27723342,0.2962044,impartial
1.0,0.5316969,0.5012176,bias
1.0,0.39056128,0.3128824,impartial
0.0,0.25304377,0.3365669,bias
0.0,0.12449515,0.22358692,unsure
1.0,0.1890217,0.3283782,bias
0.0,0.12971969,0.33561844,bias
1.0,0.2934334,0.33724374,unsure
0.0,0.4278177,0.34887236,bias
1.0,0.33301878,0.24715157,bias
1.0,0.09757604,0.18941772,impartial
1.0,0.37731606,0.22564147,impartial
1.0,0.29109865,0.2358741,impartial
0.0,0.17861043,0.31643102,bias
0.0,0.25351998,0.21442513,unsure
1.0,0.19968134,0.43236,bias
0.0,0.07542736,0.27911854,impartial
1.0,0.16943926,0.22074243,impartial
1.0,0.7952389,0.5054975,bias
1.0,0.08053293,0.334735,bias
0.0,0.29263744,0.22755598,impartial
0.0,0.47895184,0.2463156,bias
1.0,0.11712469,0.3120069,bias
0.0,0.059929635,0.41320896,bias
0.0,0.16392437,0.3691922,bias
0.0,0.1721299,0.18694907,impartial
0.0,0.14797422,0.22607581,bias
1.0,0.41089413,0.20675588,impartial
1.0,0.18304849,0.26641694,bias
1.0,0.44991523,0.27163243,impartial
1.0,0.16558523,0.31787816,unsure
0.0,0.13411905,0.1997098,unsure
0.0,0.049964055,0.26048315,bias
0.0,0.26369748,0.33769304,bias
0.0,0.08351557,0.28444082,bias
1.0,0.17620784,0.29232186,bias
1.0,0.40539783,0.38455644,bias
0.0,0.16985883,0.2144205,impartial
0.0,0.0528251,0.25097856,bias
0.0,0.0992203,0.29548475,unsure
1.0,0.17653088,0.43677962,unsure
1.0,0.2872891,0.41155708,bias
0.0,0.050977863,0.38432816,bias
0.0,0.18874885,0.27510592,bias
0.0,0.31512547,0.30009717,bias
0.0,0.19264922,0.3261184,impartial
1.0,0.10254979,0.19257574,bias
1.0,0.47338313,0.4360313,bias
1.0,0.33728576,0.35319966,unsure
1.0,0.117513634,0.16868576,impartial
1.0,0.49168253,0.43328726,bias
1.0,0.43344894,0.49006802,bias
0.0,0.40454674,0.43058258,bias
0.0,0.12009173,0.27299872,bias
1.0,0.115922645,0.2970144,unsure
0.0,0.10869818,0.16248167,unsure
0.0,0.052471977,0.2772698,bias
0.0,0.13197617,0.37709516,unsure
1.0,0.5941832,0.36028278,bias
1.0,0.074028276,0.26582938,bias
0.0,0.41123047,0.26542857,impartial
0.0,0.20318268,0.24996282,impartial
0.0,0.4117011,0.45144683,bias
1.0,0.6281868,0.49488705,bias
1.0,0.14648478,0.26342753,impartial
0.0,0.7474727,0.35317078,bias
0.0,0.46940807,0.4352768,bias
1.0,0.32069078,0.2564138,bias
0.0,0.19910593,0.30637816,impartial
1.0,0.29072958,0.41059843,bias
0.0,0.14021565,0.4372075,impartial
1.0,0.2679034,0.27280718,bias
0.0,0.28640375,0.39014104,bias
0.0,0.23272307,0.20542437,impartial
1.0,0.16026105,0.20950854,unsure
1.0,0.16476938,0.4410996,unsure
0.0,0.11165465,0.20993267,impartial
1.0,0.0,0.0,bias
1.0,0.11431249,0.24079938,bias
0.0,0.13635206,0.25117964,unsure
1.0,0.22086398,0.28710994,bias
1.0,0.7553576,0.51382273,unsure
1.0,0.17209351,0.35134447,bias
0.0,0.49562186,0.49802557,bias
1.0,0.43660325,0.36031595,bias
1.0,0.5316969,0.5012176,bias
1.0,0.25461486,0.51042485,bias
1.0,0.24203056,0.35421747,impartial
1.0,0.59085613,0.515469,bias
0.0,0.32494298,0.4480754,bias
1.0,0.0,0.0,bias
0.0,0.23806547,0.35650295,bias
0.0,0.15115537,0.34712878,bias
1.0,0.75718105,0.49649447,bias
1.0,0.22491172,0.25253305,impartial
0.0,0.14313124,0.22733946,bias
1.0,0.802565,0.21890941,bias
0.0,0.12584002,0.31070384,bias
1.0,0.5583774,0.39382118,impartial
1.0,0.15380323,0.3262929,unsure
1.0,0.8608113,0.5170228,bias
1.0,0.17264688,0.13677868,bias
1.0,0.47522396,0.3046463,unsure
1.0,0.11476892,0.24278589,bias
0.0,0.14767754,0.3188181,impartial
1.0,0.113435246,0.2672797,bias
0.0,0.20528154,0.32098073,bias
1.0,0.2586431,0.38912535,bias
1.0,0.34719935,0.26288554,impartial
1.0,0.62174,0.37336093,unsure
0.0,0.40785235,0.23699777,impartial
0.0,0.1485855,0.16974966,impartial
0.0,0.16331638,0.20542563,bias
0.0,0.16356973,0.23612358,bias
1.0,0.0,0.0,bias
1.0,0.09752249,0.30818868,unsure
0.0,0.1478774,0.29409435,bias
0.0,0.31259158,0.30766183,bias
0.0,0.21035671,0.3602122,bias
0.0,0.46584037,0.26914912,unsure
1.0,0.30060148,0.3033158,bias
1.0,0.11872316,0.4682499,bias
1.0,0.9400362,0.44873127,bias
1.0,0.06943155,0.2063503,bias
1.0,0.43618545,0.5006219,bias
0.0,0.39855832,0.35069883,unsure
1.0,0.74929786,0.33462495,impartial
1.0,0.0,0.0,bias
1.0,0.22296761,0.37433738,bias
1.0,0.19517937,0.43364358,bias
0.0,0.30376977,0.34694794,bias
0.0,0.1237434,0.3969835,bias
0.0,0.25086164,0.17889681,impartial
1.0,0.5666156,0.5528633,bias
1.0,0.16358022,0.47151965,bias
0.0,0.16878952,0.16133375,impartial
1.0,0.15515666,0.343747,bias
1.0,0.2957539,0.18616478,impartial
1.0,0.7118798,0.5035907,bias
0.0,0.13346331,0.2262233,bias
1.0,0.46599993,0.39349988,unsure
0.0,0.43358412,0.49268726,bias
0.0,0.22444645,0.18514849,impartial
1.0,0.53219175,0.51786923,bias
1.0,0.32377443,0.43243092,unsure
0.0,0.53154606,0.41522864,bias
1.0,0.22501813,0.29840758,bias
1.0,0.0,0.0,bias
0.0,0.16453469,0.22803982,unsure
1.0,0.1607477,0.28864774,bias
1.0,0.42016858,0.2636671,bias
1.0,0.5007589,0.44504428,bias
0.0,0.20586964,0.27664444,bias
1.0,0.4462783,0.41257697,bias
0.0,0.2015189,0.2848361,impartial
1.0,0.43717813,0.45514584,bias
1.0,0.3811759,0.4436362,bias
1.0,0.0,0.0,bias
1.0,0.3239279,0.343669,bias
0.0,0.23121968,0.3709886,bias
1.0,0.3328822,0.4668571,bias
1.0,0.47611657,0.46954232,bias
0.0,0.26517245,0.4847626,impartial
0.0,0.14374574,0.24775892,impartial
1.0,0.0,0.0,bias
1.0,0.14782815,0.23245342,bias
0.0,0.09099575,0.20634913,bias
1.0,0.07288705,0.3143407,bias
0.0,0.22066611,0.23510382,unsure
0.0,0.018050794,0.4332546,bias
0.0,0.484283,0.23280849,bias
1.0,0.24576247,0.2983419,unsure
1.0,0.37055105,0.31130546,bias
0.0,0.23207568,0.12022723,impartial
0.0,0.34787208,0.5263225,bias
0.0,0.30829352,0.2547806,unsure
1.0,0.119796276,0.20737086,bias
0.0,0.26060075,0.15215887,unsure
0.0,0.24592909,0.22936243,unsure
1.0,0.21674663,0.24155518,impartial
1.0,0.15613703,0.35850087,impartial
1.0,0.053058688,0.30279848,bias
1.0,0.6170295,0.5113252,bias
1.0,0.33641973,0.3406081,bias
0.0,0.04382015,0.20681751,impartial
1.0,0.124861516,0.25340497,bias
1.0,0.25211582,0.26092395,impartial
0.0,0.510526,0.47723335,bias
1.0,0.23138486,0.25308627,bias
1.0,0.13350077,0.3592287,bias
1.0,0.43272156,0.36100268,unsure
1.0,0.3695113,0.41146636,impartial
0.0,0.72917944,0.26556543,unsure
1.0,0.06020292,0.2750806,bias
1.0,0.037863728,0.25938833,bias
0.0,0.18267666,0.14125712,impartial
0.0,0.12605277,0.25150424,impartial
1.0,0.13119715,0.19758862,impartial
0.0,0.06081403,0.27682158,impartial
0.0,0.35252008,0.30719897,unsure
0.0,0.17022064,0.40300116,bias
1.0,0.1417002,0.3456324,bias
0.0,0.22280234,0.45523107,bias
0.0,0.24295457,0.27936807,impartial
0.0,0.050403014,0.22283126,impartial
0.0,0.18613677,0.22183533,impartial
1.0,0.08654594,0.46075735,impartial
0.0,0.104826584,0.35376889,unsure
0.0,0.19474854,0.30077577,bias
1.0,0.5535435,0.49006802,bias
1.0,0.45734638,0.3296675,bias
1.0,0.73551905,0.3415074,bias
0.0,0.046063703,0.45828786,bias
1.0,0.25375888,0.3300925,bias
1.0,0.2671666,0.19906357,bias
0.0,0.6185937,0.37542927,bias
0.0,0.046607472,0.29629523,bias
1.0,0.6891505,0.6756731,bias
0.0,0.14680694,0.2630246,unsure
0.0,0.29423395,0.37695783,bias
0.0,0.24608228,0.30038401,bias
0.0,0.19661689,0.26923692,bias
0.0,0.30781892,0.29317498,bias
1.0,0.15086363,0.19751064,bias
0.0,0.754486,0.49363732,unsure
1.0,0.5081318,0.38103333,unsure
1.0,0.33639082,0.29332963,bias
0.0,0.19340715,0.29486752,impartial
1.0,0.0,0.0,bias
0.0,0.20960027,0.24834213,impartial
1.0,0.15452273,0.28283298,unsure
0.0,0.08394106,0.27270052,bias
1.0,0.48123878,0.46025214,bias
1.0,0.15279578,0.2972533,bias
0.0,0.23473679,0.27009526,bias
0.0,0.1439553,0.33295363,bias
0.0,0.082261585,0.22966082,bias
0.0,0.0,0.0,bias
1.0,0.15007374,0.21282122,bias
0.0,0.20159377,0.20024703,unsure
1.0,0.5344811,0.4994521,bias
1.0,0.31329474,0.49008918,bias
1.0,0.36408654,0.3858657,bias
1.0,0.2158317,0.23692882,bias
1.0,0.43000913,0.31726766,bias
0.0,0.34216842,0.44409117,bias
1.0,0.3993193,0.18030833,bias
1.0,0.29976574,0.39723894,bias
1.0,0.82430553,0.49006802,bias
0.0,0.34235263,0.36258128,bias
1.0,0.09351392,0.3533066,bias
0.0,0.29616046,0.33379918,unsure
1.0,0.28331497,0.49344692,bias
0.0,0.17335336,0.23049065,impartial
1.0,0.42490283,0.33848256,bias
1.0,0.47504294,0.28670144,bias
0.0,0.06195815,0.33006275,bias
0.0,0.23001276,0.3285102,bias
1.0,0.0,0.0,bias
0.0,0.021801144,0.17617358,bias
1.0,0.14717285,0.4274049,bias
1.0,0.50111693,0.19619934,bias
1.0,0.09208392,0.20370127,bias
1.0,0.08779638,0.16353077,impartial
1.0,0.21345827,0.3533459,bias
0.0,0.22175081,0.20934054,bias
0.0,0.27490577,0.25792575,impartial
1.0,0.37204465,0.31099588,bias
0.0,0.23028332,0.23717508,impartial
1.0,0.21754496,0.22353397,impartial
1.0,0.3433388,0.5104304,bias
1.0,0.0697262,0.18736278,bias
1.0,0.30033967,0.25427228,bias
0.0,0.21095762,0.3111784,bias
0.0,0.43480998,0.48007524,bias
0.0,0.3337604,0.30233142,unsure
0.0,0.18698819,0.15007317,bias
1.0,0.20474592,0.34830076,bias
1.0,0.38599724,0.37204933,bias
1.0,0.1742912,0.29424846,bias
1.0,0.09753322,0.47835138,bias
0.0,0.21013063,0.22538303,impartial
0.0,0.6478964,0.4387219,bias
1.0,0.67564857,0.46379837,bias
0.0,0.6087163,0.4283919,impartial
0.0,0.12393772,0.38825452,bias
0.0,0.21081023,0.19492397,unsure
0.0,0.3343635,0.3219025,bias
0.0,0.10672086,0.17775804,impartial
1.0,0.6029136,0.5160722,bias
0.0,0.031123636,0.19034852,bias
1.0,0.59563345,0.45969224,bias
0.0,0.11647885,0.17270613,impartial
1.0,0.4832355,0.37972626,bias
0.0,0.21266001,0.29249537,unsure
1.0,0.0,0.0,bias
0.0,0.036103573,0.16183783,bias
1.0,0.34816834,0.29911247,impartial
0.0,0.31386632,0.3555255,unsure
1.0,0.24076088,0.31678727,bias
1.0,0.0,0.0,bias
0.0,0.1907695,0.28096724,bias
1.0,0.35922733,0.39315757,bias
1.0,0.14884853,0.29376456,bias
1.0,0.09905812,0.33683443,bias
0.0,0.21365003,0.26842007,unsure
1.0,0.3051751,0.35876584,bias
1.0,0.15102066,0.2955665,bias
0.0,0.12551427,0.21622005,impartial
1.0,0.52245075,0.37055728,unsure
1.0,0.73336345,0.9173869,impartial
1.0,0.13178346,0.21671842,unsure
0.0,0.03849054,0.24978098,bias
0.0,0.40567613,0.25983644,impartial
0.0,0.2919742,0.31510517,impartial
1.0,0.17887239,0.46280414,bias
1.0,0.61287403,0.3474529,bias
0.0,0.18108222,0.25000784,impartial
1.0,0.09486514,0.21979776,bias
0.0,0.07103933,0.16366874,bias
1.0,0.3770453,0.41721448,bias
1.0,0.36985067,0.58631587,bias
0.0,0.3486207,0.15413757,impartial
0.0,0.08469931,0.32430893,bias
0.0,0.12464707,0.25213593,impartial
0.0,0.40912428,0.32148904,unsure
0.0,0.45438412,0.3244459,impartial
1.0,0.45349362,0.31215876,impartial
1.0,0.33166215,0.43435,bias
1.0,0.33843505,0.41082513,bias
0.0,0.20125109,0.2451446,bias
1.0,0.24581635,0.31441677,bias
1.0,0.32787168,0.13252912,unsure
0.0,0.13449156,0.17475128,impartial
0.0,0.21217659,0.41448727,impartial
0.0,0.07158783,0.33044812,bias
0.0,0.07996726,0.18963793,impartial
1.0,0.25280762,0.33056715,bias
0.0,0.20436092,0.39430892,bias
1.0,0.114509955,0.122834556,bias
1.0,0.38618705,0.33096972,unsure
1.0,0.79500544,0.43155494,bias
1.0,0.4569672,0.35936078,bias
1.0,0.2725396,0.29706,impartial
1.0,0.32555455,0.22233884,impartial
1.0,0.67061335,0.42474592,bias
0.0,0.25273895,0.28769374,impartial
0.0,0.2567434,0.3053265,bias
1.0,0.12708284,0.25885797,bias
1.0,0.51163787,0.22799324,unsure
1.0,0.3267223,0.44362512,bias
1.0,0.15026549,0.23337246,impartial
0.0,0.13848332,0.15628909,unsure
0.0,0.20746382,0.16381839,unsure
0.0,0.089255236,0.26536268,bias
0.0,0.35397145,0.22948772,impartial
1.0,0.2801893,0.25609824,bias
1.0,0.33773056,0.33939514,bias
1.0,0.0,0.0,bias
1.0,0.23931682,0.38052282,bias
0.0,0.12513365,0.2540194,impartial
0.0,0.54665136,0.19514199,impartial
0.0,0.35240996,0.45761648,unsure
1.0,0.40827277,0.49286374,bias
0.0,0.120408505,0.26996857,bias
1.0,0.083889134,0.22668472,bias
1.0,0.16689992,0.29362708,unsure
1.0,0.0,0.0,bias
0.0,0.12236005,0.23256564,bias
1.0,0.14702654,0.2801131,bias
1.0,0.1390478,0.28163722,unsure
1.0,0.2829958,0.33660984,impartial
1.0,0.16169794,0.18457572,bias
0.0,0.29129738,0.2762107,unsure
1.0,0.09918813,0.29469997,impartial
0.0,0.15062502,0.2800149,unsure
1.0,0.08118349,0.16707924,bias
0.0,0.48746672,0.46773538,bias
0.0,0.0,0.0,bias
1.0,0.11694963,0.20160343,impartial
0.0,0.37967402,0.3629778,impartial
1.0,0.8768509,0.51204234,bias
1.0,0.0,0.0,bias
0.0,0.2707832,0.33881506,unsure
1.0,0.5334776,0.29128912,bias
0.0,0.059404913,0.2702702,impartial
0.0,0.07671889,0.1794368,impartial
0.0,0.19602847,0.21690694,bias
0.0,0.13120912,0.37369755,bias
0.0,0.639618,0.3638081,bias
0.0,0.044206947,0.20610298,impartial
1.0,0.0,0.0,bias
0.0,0.2959586,0.34658283,unsure
1.0,0.118063085,0.37572482,bias
1.0,0.42613903,0.50866157,bias
1.0,0.25296298,0.46246478,bias
0.0,0.25168222,0.38648286,unsure
0.0,0.19315058,0.29698586,bias
1.0,0.30455804,0.3280112,bias
1.0,0.51976734,0.47336888,impartial
0.0,0.1429532,0.3108662,impartial
0.0,0.18909377,0.25095835,impartial
1.0,0.13703266,0.26925135,bias
1.0,0.44085884,0.47751033,bias
1.0,0.13181917,0.24404606,unsure
1.0,0.23074977,0.3570304,unsure
0.0,0.11114761,0.2573085,bias
1.0,0.5068345,0.48498255,bias
0.0,0.17591761,0.16794097,impartial
1.0,0.51590574,0.3675176,impartial
0.0,0.18467312,0.24145928,impartial
1.0,0.0,0.0,bias
0.0,0.31345472,0.26711732,impartial
1.0,0.34404343,0.3030236,impartial
1.0,0.5513282,0.4485811,bias
0.0,0.20142189,0.27959502,impartial
1.0,0.32498842,0.29076713,bias
1.0,0.6081728,0.55815047,bias
0.0,0.12600143,0.23685098,impartial
1.0,0.33766398,0.35764673,bias
1.0,0.0,0.0,bias
1.0,0.3648795,0.44426584,bias
0.0,0.17611752,0.2845368,impartial
1.0,0.0,0.0,bias
0.0,0.13039158,0.28953242,impartial
0.0,0.33783105,0.39785135,unsure
0.0,0.20747755,0.3784448,bias
0.0,0.27493095,0.33341977,bias
1.0,0.38212344,0.477871,impartial
1.0,0.3113441,0.43390802,bias
1.0,0.1818893,0.43676752,impartial
0.0,0.34706047,0.33476257,bias
1.0,0.31930205,0.41025555,bias
0.0,0.36260867,0.26178202,bias
1.0,0.44702408,0.42608118,bias
1.0,0.6035851,0.43377984,bias
0.0,0.25725093,0.30223185,impartial
0.0,0.3421164,0.25231117,impartial
1.0,0.49939087,0.35498872,bias
1.0,0.23893492,0.29228798,bias
0.0,0.25297937,0.23421729,impartial
1.0,0.38013265,0.5170008,bias
0.0,0.12815978,0.30310148,bias
1.0,0.21169175,0.27799922,bias
1.0,0.40302277,0.3233368,bias
0.0,0.08096816,0.32053998,impartial
0.0,0.2598551,0.30284876,impartial
1.0,0.12449654,0.101082884,impartial
0.0,0.41735742,0.2666057,impartial
0.0,0.25052613,0.31770548,bias
1.0,0.48912188,0.46076384,bias
0.0,0.04642877,0.13234872,bias
1.0,0.118878245,0.25056997,unsure
0.0,0.16757713,0.34785423,impartial
1.0,0.093147926,0.15993656,unsure
1.0,0.5342857,0.3454454,bias
0.0,0.18251683,0.37989149,impartial
1.0,0.21598539,0.35741717,bias
0.0,0.33701697,0.36396927,bias
1.0,0.10188871,0.1653376,bias
0.0,0.19988221,0.34397358,unsure
1.0,0.46035814,0.3753469,bias
1.0,0.0,0.0,bias
0.0,0.2825892,0.37443233,bias
1.0,0.21789315,0.38345942,bias
0.0,0.134151,0.22528009,impartial
0.0,0.24158427,0.33998942,bias
0.0,0.22739339,0.35241917,impartial
0.0,0.23322503,0.24867897,unsure
0.0,0.3330426,0.38869354,impartial
0.0,0.14362325,0.17256261,impartial
1.0,0.31822538,0.34473598,impartial
1.0,0.5638008,0.29310894,bias
1.0,0.3505367,0.32904175,unsure
1.0,0.21209323,0.25748932,impartial
1.0,0.34288687,0.19830449,impartial
0.0,0.27560744,0.26412684,unsure
0.0,0.20217803,0.21434811,bias
0.0,0.2948458,0.42126703,bias
1.0,0.30416083,0.4190027,bias
1.0,0.0,0.0,bias
1.0,0.61368275,0.45014548,bias
